,experiments
0,31.729999999999997
1,30.31
2,30.229999999999997
3,29.119999999999997
4,31.019999999999992
5,29.36
6,29.86999999999999
7,29.8
8,30.660000000000004
9,28.62
10,29.689999999999994
11,29.540000000000003
12,27.980000000000004
13,29.54
14,29.31
15,30.999999999999996
16,27.969999999999995
17,27.980000000000004
18,30.419999999999998
19,30.209999999999997
20,30.119999999999994
21,29.610000000000003
22,30.189999999999998
23,31.439999999999998
24,30.700000000000003
25,31.69
26,31.11
27,28.750000000000004
28,30.139999999999997
29,29.7
